id,name,swings_competitive,percent_swings_competitive,contact,avg_bat_speed,hard_swing_rate,squared_up_per_bat_contact,squared_up_per_swing,blast_per_bat_contact,blast_per_swing,swing_length,swords,batter_run_value,whiffs,whiff_per_swing,batted_ball_events,batted_ball_event_per_swing
694192,"Chourio, Jackson",860,0.906217071,648,73.15158777,0.339534884,0.344135802,0.259302326,0.177469136,0.13372093,7.370065977,22,-8.091728344,212,0.246511628,349,0.405813953
669911,"Toglia, Michael",752,0.909310762,507,73.15121753,0.292553191,0.317554241,0.214095745,0.185404339,0.125,7.540294561,21,-11.62720473,245,0.325797872,234,0.311170213
666160,"Moniak, Mickey",752,0.906024096,539,73.14535793,0.285904255,0.282003711,0.20212766,0.12987013,0.093085106,7.685752686,10,-15.77038566,213,0.283244681,256,0.340425532
682622,"Marte, Noelvi",428,0.906779661,295,73.1358778,0.336448598,0.26779661,0.184579439,0.125423729,0.086448598,7.518366916,8,-17.39230818,133,0.310747664,143,0.33411215
623993,"Santander, Anthony",1179,0.907621247,950,73.1232047,0.337574215,0.276842105,0.223070399,0.138947368,0.111959288,7.246136353,5,-1.20740372,229,0.1942324,424,0.359626802
624641,"Sosa, Edmundo",499,0.903985507,348,73.09977623,0.340681363,0.267241379,0.186372745,0.132183908,0.092184369,8.258682184,3,-7.473896524,151,0.30260521,161,0.322645291
547989,"Abreu, José",159,0.898305085,117,73.08325302,0.314465409,0.290598291,0.213836478,0.111111111,0.081761006,7.063763899,2,-8.543109846,42,0.264150943,57,0.358490566
596142,"Sánchez, Gary",402,0.903370787,291,73.08255418,0.31840796,0.350515464,0.253731343,0.158075601,0.114427861,7.444919254,13,-7.095583468,111,0.276119403,155,0.385572139
677942,"Alexander, Blaze",296,0.905198777,209,73.07190409,0.304054054,0.282296651,0.199324324,0.114832536,0.081081081,7.348342669,6,-10.10120628,87,0.293918919,101,0.341216216
681624,"Pages, Andy",764,0.903073286,573,73.0671309,0.277486911,0.280977312,0.210732984,0.141361257,0.106020942,7.730661453,11,-17.8776501,191,0.25,266,0.348167539
664238,"Moore, Dylan",658,0.90260631,508,73.04531989,0.278115502,0.269685039,0.208206687,0.108267717,0.083586626,7.119954529,16,-22.33065011,150,0.227963526,228,0.346504559
664314,"Florial, Estevan",186,0.902912621,111,73.00461828,0.301075269,0.27027027,0.161290323,0.135135135,0.080645161,7.135288978,0,-4.421873127,75,0.403225806,51,0.274193548
665052,"Conine, Griffin",156,0.901734104,114,73.00026462,0.314102564,0.245614035,0.179487179,0.114035088,0.083333333,7.553620769,2,0.371623052,42,0.269230769,48,0.307692308
663330,"Jones, Jahmai",52,0.896551724,37,72.99305327,0.288461538,0.351351351,0.25,0.162162162,0.115384615,7.689005577,1,-0.876580548,15,0.288461538,22,0.423076923
673548,"Suzuki, Seiya",852,0.901587302,655,72.96161626,0.349765258,0.334351145,0.257042254,0.180152672,0.138497653,7.191845869,17,12.45845255,197,0.231220657,327,0.383802817
656976,"Smith, Pavin",212,0.909871245,171,72.95820731,0.320754717,0.403508772,0.325471698,0.198830409,0.160377358,7.365183443,4,-0.196390449,41,0.193396226,98,0.462264151
502110,"Martinez, J.D.",842,0.900534759,592,72.94465169,0.285035629,0.283783784,0.199524941,0.140202703,0.098574822,8.414047387,29,-19.37092034,250,0.296912114,254,0.301662708
663662,"Cameron, Daz",307,0.908284024,218,72.92860358,0.302931596,0.353211009,0.250814332,0.174311927,0.123778502,6.755714723,7,-14.39491016,89,0.28990228,107,0.348534202
643265,"Cooper, Garrett",175,0.897435897,126,72.9252408,0.268571429,0.285714286,0.205714286,0.103174603,0.074285714,7.752452057,3,-9.844529485,49,0.28,61,0.348571429
665804,"Amaya, Miguel",589,0.903374233,469,72.91013533,0.324278438,0.29424307,0.234295416,0.119402985,0.095076401,7.150193752,6,-15.1237518,120,0.203735144,242,0.410865874
